Date;Infections;Dead;Recover;Infect_by_date
28.03.2020;6;0;0;6
29.03.2020;6;0;0;6
30.03.2020;9;1;0;8
31.03.2020;9;1;0;8
01.04.2020;9;2;0;7
02.04.2020;9;2;0;7
03.04.2020;9;2;0;7
04.04.2020;9;2;2;5
05.04.2020;9;2;3;4
06.04.2020;10;2;3;5
07.04.2020;14;2;3;9
08.04.2020;14;2;3;9
09.04.2020;16;2;5;9
10.04.2020;16;2;5;9
11.04.2020;16;2;6;8
12.04.2020;16;2;6;8
13.04.2020;21;2;6;13
14.04.2020;21;2;6;13
15.04.2020;27;4;8;15
16.04.2020;32;4;8;20
17.04.2020;37;4;8;25
18.04.2020;42;6;8;28
19.04.2020;44;6;8;30
20.04.2020;52;6;9;37
21.04.2020;58;6;9;43
22.04.2020;62;6;9;47
23.04.2020;66;6;9;51
24.04.2020;81;6;9;66
25.04.2020;93;6;9;78
26.04.2020;110;7;9;94
27.04.2020;124;8;13;103
28.04.2020;128;8;14;106
29.04.2020;142;8;14;120
30.04.2020;149;8;17;124
01.05.2020;153;8;17;128
02.05.2020;177;8;19;150
03.05.2020;195;8;19;168
04.05.2020;196;8;19;169
05.05.2020;214;8;24;182
06.05.2020;226;8;35;183
07.05.2020;243;8;41;194
08.05.2020;270;8;51;211
09.05.2020;277;8;59;210
10.05.2020;293;8;66;219
11.05.2020;308;8;67;233
12.05.2020;328;8;67;253
13.05.2020;339;8;96;235
14.05.2020;351;8;102;241
15.05.2020;367;8;112;247
16.05.2020;386;8;132;246
17.05.2020;405;9;132;264
18.05.2020;424;9;132;283
19.05.2020;451;9;142;300
20.05.2020;461;9;161;291
21.05.2020;494;9;172;313
22.05.2020;513;9;183;321
23.05.2020;543;9;201;333
24.05.2020;566;9;201;356
25.05.2020;592;10;208;374
26.05.2020;608;10;238;360
27.05.2020;629;10;268;351
28.05.2020;671;10;293;368
29.05.2020;723;10;306;407
30.05.2020;765;10;332;423
31.05.2020;824;10;340;474
01.06.2020;887;10;340;537
02.06.2020;910;10;359;541
03.06.2020;954;10;368;576
04.06.2020;1066;10;403;653
05.06.2020;1131;11;420;700
06.06.2020;1163;12;437;714
07.06.2020;1232;12;437;783
08.06.2020;1269;12;440;817
09.06.2020;1306;12;454;840
10.06.2020;1366;12;475;879
11.06.2020;1425;12;486;927
12.06.2020;1535;16;506;1013
13.06.2020;1635;19;507;1109
14.06.2020;1740;19;517;1204
15.06.2020;1838;19;522;1297
16.06.2020;1901;19;525;1357
17.06.2020;1996;19;534;1443
18.06.2020;2047;19;571;1457
19.06.2020;2088;19;611;1458
20.06.2020;2183;19;665;1499
21.06.2020;2278;19;669;1590
22.06.2020;2353;19;669;1665
23.06.2020;2414;19;736;1659
24.06.2020;2458;19;785;1654
25.06.2020;2527;19;797;1711
26.06.2020;2564;19;838;1707
27.06.2020;2609;21;911;1677
28.06.2020;2667;21;912;1734
29.06.2020;2722;21;918;1783
30.06.2020;2757;22;984;1751
01.07.2020;2830;23;1035;1772
02.07.2020;2875;23;1091;1761
03.07.2020;2932;25;1245;1662
04.07.2020;2967;26;1342;1599
05.07.2020;3018;26;1348;1644
06.07.2020;3044;28;1400;1616
07.07.2020;3082;31;1474;1577
08.07.2020;3109;31;1599;1479
09.07.2020;3137;33;1661;1443
10.07.2020;3172;34;1769;1369
11.07.2020;3198;34;1845;1319
12.07.2020;3214;36;1885;1293
13.07.2020;3245;36;1891;1318
14.07.2020;3257;38;1954;1265
15.07.2020;3291;39;2022;1230
16.07.2020;3327;41;2093;1193
17.07.2020;3354;42;2156;1156
18.07.2020;3372;43;2207;1122
19.07.2020;3402;45;2207;1150
20.07.2020;3421;45;2221;1155
21.07.2020;3437;46;2247;1144
22.07.2020;3454;46;2299;1109
23.07.2020;3486;48;2341;1097
24.07.2020;3534;49;2358;1127
25.07.2020;3554;51;2410;1093
26.07.2020;3582;51;2410;1121
27.07.2020;3618;52;2410;1156
28.07.2020;3633;52;2444;1137
29.07.2020;3646;53;2487;1106
30.07.2020;3686;53;2529;1104
31.07.2020;3728;54;2564;1110
01.08.2020;3761;54;2599;1108
02.08.2020;3797;54;2600;1143
03.08.2020;3834;54;2600;1180
04.08.2020;3835;55;2623;1157
05.08.2020;3839;55;2649;1135
06.08.2020;3869;55;2747;1067
07.08.2020;3889;55;2772;1062
08.08.2020;3908;57;2803;1048
09.08.2020;3928;57;2803;1068
10.08.2020;3961;57;2803;1101
11.08.2020;3982;58;2820;1104
12.08.2020;4001;58;2854;1089
13.08.2020;4038;58;2900;1080
14.08.2020;4070;59;2928;1083
15.08.2020;4109;59;2971;1079
16.08.2020;4143;59;2971;1113
17.08.2020;4190;59;2971;1160
18.08.2020;4215;60;3010;1145
19.08.2020;4242;60;3053;1129
20.08.2020;4279;60;3094;1125
21.08.2020;4314;61;3131;1122
22.08.2020;4350;61;3167;1122
23.08.2020;4384;61;3169;1154
24.08.2020;4434;61;3169;1204
25.08.2020;4458;61;3193;1204
26.08.2020;4499;61;3214;1224
27.08.2020;4527;62;3241;1224
28.08.2020;4557;62;3255;1240
29.08.2020;4581;62;3288;1231
