,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.71228135,6.2768096923828125,-0.0018418515888346532,-0.2768096923828125
1,0.0,-0.7540466891834363,-1.3271121,-86.12454223632812,0.5730653894832507,86.12454223632812
2,3.0,-0.7340849435466885,-1.6042802,-127.77943420410156,0.8701952898364902,130.77943420410156
3,0.0,-0.7540466891834363,-1.7162436,-144.60614013671875,0.9621969355037585,144.60614013671875
4,0.0,-0.7540466891834363,-1.7561115,-150.5977783203125,1.0020648134639636,150.5977783203125
5,0.0,-0.7540466891834363,-1.769607,-152.6259765625,1.0155602587154284,152.6259765625
6,0.0,-0.7540466891834363,-1.7739191,-153.2740478515625,1.0198724163463488,153.2740478515625
7,0.0,-0.7540466891834363,-1.7750834,-153.44900512695312,1.0210367334773913,153.44900512695312
8,0.0,-0.7540466891834363,-1.7752069,-153.46759033203125,1.021160234301366,153.46759033203125
9,1.0,-0.7473927739711871,-1.7718273,-152.95965576171875,1.0244345661548504,153.95965576171875
10,4.0,-0.7274310283344392,-1.7598075,-151.15322875976562,1.0323764391261931,155.15322875976562
11,0.0,-0.7540466891834363,-1.7656242,-152.02740478515625,1.0115774763515368,152.02740478515625
12,2.0,-0.7407388587589377,-1.7634138,-151.69522094726562,1.022674928129185,153.69522094726562
13,0.0,-0.7540466891834363,-1.7681342,-152.40463256835938,1.014087547152318,152.40463256835938
14,0.0,-0.7540466891834363,-1.7710699,-152.8458251953125,1.0170231951167956,152.8458251953125
15,0.0,-0.7540466891834363,-1.7725537,-153.06881713867188,1.0185069931438342,153.06881713867188
16,5.0,-0.7207771131221898,-1.7567732,-150.69723510742188,1.0359961202915065,155.69723510742188
17,0.0,-0.7540466891834363,-1.7634823,-151.70550537109375,1.009435643046178,151.70550537109375
18,6.0,-0.7141231979099406,-1.7486051,-149.46966552734375,1.0344819341930256,155.46966552734375
19,5.0,-0.7207771131221898,-1.7425486,-148.5594482421875,1.0217714718158595,153.5594482421875
20,5.0,-0.7207771131221898,-1.7397367,-148.1368408203125,1.0189595630939356,153.1368408203125
21,5.0,-0.7207771131221898,-1.7384199,-147.93893432617188,1.0176427772815577,152.93893432617188
22,2.0,-0.7407388587589377,-1.747892,-149.36248779296875,1.007153163373936,151.36248779296875
23,8.0,-0.700815367485442,-1.7334322,-147.18936157226562,1.0326168062435008,155.18936157226562
24,6.0,-0.7141231979099406,-1.73076,-146.78775024414062,1.0166367803844318,152.78775024414062
25,4.0,-0.7274310283344392,-1.7368437,-147.70205688476562,1.009412676842868,151.70205688476562
26,4.0,-0.7274310283344392,-1.7408065,-148.297607421875,1.013375432046115,152.297607421875
27,15.0,-0.6542379609996969,-1.7055421,-142.99783325195312,1.0513041265552348,157.99783325195312
28,12.0,-0.6741997066364448,-1.6936347,-141.2082977294922,1.0194350418224176,153.2082977294922
29,17.0,-0.6409301305751983,-1.6706518,-137.75425720214844,1.0297216629047212,154.75425720214844
30,14.0,-0.6608918762119462,-1.6678742,-137.33682250976562,1.00698234082144,151.33682250976562
31,4.0,-0.7274310283344392,-1.701815,-142.4376983642578,0.9743839807826873,146.4376983642578
32,14.0,-0.6608918762119462,-1.6890647,-140.521484375,1.0281728649226973,154.521484375
33,7.0,-0.7074692826976913,-1.7028798,-142.59771728515625,0.9954105037937028,149.59771728515625
34,4.0,-0.7274310283344392,-1.7223911,-145.530029296875,0.9949601002055999,149.530029296875
35,24.0,-0.5943527240894533,-1.6634442,-136.67103576660156,1.0690914373256468,160.67103576660156
36,18.0,-0.6342762153629491,-1.6463693,-134.1049041748047,1.0120931226726344,152.1049041748047
37,1.0,-0.7473927739711871,-1.6981006,-141.87945556640625,0.9507077928928266,142.87945556640625
38,18.0,-0.6342762153629491,-1.6733395,-138.15818786621094,1.0390632707591823,156.15818786621094
39,12.0,-0.6741997066364448,-1.6760217,-138.561279296875,1.0018219885005792,150.561279296875
40,17.0,-0.6409301305751983,-1.661533,-136.38381958007812,1.0206028675098238,153.38381958007812
41,27.0,-0.5743909784527054,-1.6148554,-129.36875915527344,1.0404644302158128,156.36875915527344
42,7.0,-0.7074692826976913,-1.6580291,-135.8572235107422,0.9505597967395646,142.8572235107422
43,16.0,-0.6475840457874477,-1.6574872,-135.77577209472656,1.0099031082195102,151.77577209472656
44,15.0,-0.6542379609996969,-1.6582731,-135.89389038085938,1.0040351398532694,150.89389038085938
45,20.0,-0.6209683849384505,-1.6404692,-133.2181854248047,1.0195008085201067,153.2181854248047
46,11.0,-0.6808536218486941,-1.6612962,-136.34823608398438,0.98044262658728,147.34823608398438
47,12.0,-0.6741997066364448,-1.6723493,-138.00936889648438,0.9981496271266778,150.00936889648438
48,16.0,-0.6475840457874477,-1.6639498,-136.74703979492188,1.0163658014339267,152.74703979492188
49,19.0,-0.6276223001506998,-1.6468154,-134.1719512939453,1.0191931190463828,153.1719512939453
