,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.7093819,6.712562561035156,-0.00474131953393353,-0.7125625610351562
1,0.0,-0.7540466891834363,-1.0052215,-37.74842834472656,0.25117479690817746,37.74842834472656
2,3.0,-0.7340849435466885,-1.0676603,-47.1322021484375,0.3335753881793857,50.1322021484375
3,0.0,-0.7540466891834363,-1.080722,-49.09519958496094,0.32667528518942746,49.09519958496094
4,0.0,-0.7540466891834363,-1.0732044,-47.96540832519531,0.3191577089717761,47.96540832519531
5,0.0,-0.7540466891834363,-1.0637571,-46.54559326171875,0.3097103727748767,46.54559326171875
6,0.0,-0.7540466891834363,-1.0568072,-45.5010986328125,0.3027604711940661,45.5010986328125
7,0.0,-0.7540466891834363,-1.0524869,-44.85182189941406,0.29844020733145626,44.85182189941406
8,0.0,-0.7540466891834363,-1.0500112,-44.47975158691406,0.29596446880606564,44.47975158691406
9,1.0,-0.7473927739711871,-1.0442457,-43.61328125,0.2968529459384809,44.61328125
10,4.0,-0.7274310283344392,-1.0283078,-41.21800231933594,0.300876767190158,45.21800231933594
11,0.0,-0.7540466891834363,-1.0389558,-42.818267822265625,0.28490911850241574,42.818267822265625
12,2.0,-0.7407388587589377,-1.0347338,-42.183746337890625,0.2939949135188943,44.183746337890625
13,0.0,-0.7540466891834363,-1.041702,-43.230987548828125,0.2876553429057971,43.230987548828125
14,0.0,-0.7540466891834363,-1.0447339,-43.6866455078125,0.2906871927669421,43.6866455078125
15,0.0,-0.7540466891834363,-1.046037,-43.882476806640625,0.2919902695110217,43.882476806640625
16,5.0,-0.7207771131221898,-1.0244236,-40.63426208496094,0.3036464861209742,45.63426208496094
17,0.0,-0.7540466891834363,-1.0370764,-42.53581237792969,0.2830296648433581,42.53581237792969
18,6.0,-0.7141231979099406,-1.0160514,-39.37602233886719,0.30192821371878253,45.37602233886719
19,5.0,-0.7207771131221898,-1.0112722,-38.65777587890625,0.29049507887915293,43.65777587890625
20,5.0,-0.7207771131221898,-1.0092156,-38.34869384765625,0.28843848021582286,43.34869384765625
21,5.0,-0.7207771131221898,-1.0083526,-38.218994140625,0.28757552416876475,43.218994140625
22,2.0,-0.7407388587589377,-1.0213014,-40.16502380371094,0.2805625299816018,42.16502380371094
23,8.0,-0.700815367485442,-1.0003762,-37.02024841308594,0.2995608570323802,45.02024841308594
24,6.0,-0.7141231979099406,-1.0000712,-36.974395751953125,0.2859479700359212,42.974395751953125
25,4.0,-0.7274310283344392,-1.0088352,-38.29151916503906,0.281404168160617,42.29151916503906
26,4.0,-0.7274310283344392,-1.0126966,-38.87184143066406,0.2852655954677459,42.87184143066406
27,15.0,-0.6542379609996969,-0.9635625,-31.487594604492188,0.3093245275562113,46.48759460449219
28,12.0,-0.6741997066364448,-0.9574305,-30.5660400390625,0.28323077527426077,42.5660400390625
29,17.0,-0.6409301305751983,-0.92950547,-26.3692626953125,0.28857533683965764,43.3692626953125
30,14.0,-0.6608918762119462,-0.9330574,-26.903076171875,0.2721655511943648,40.903076171875
31,4.0,-0.7274310283344392,-0.98042476,-34.02178955078125,0.2529937334377166,38.02178955078125
32,14.0,-0.6608918762119462,-0.9548727,-30.181640625,0.2939808511821578,44.181640625
33,7.0,-0.7074692826976913,-0.9764037,-33.41748046875,0.2689344305286271,40.41748046875
34,4.0,-0.7274310283344392,-0.9988936,-36.79742431640625,0.27146259024924,40.79742431640625
35,24.0,-0.5943527240894533,-0.9125823,-23.825912475585938,0.31822955416219467,47.82591247558594
36,18.0,-0.6342762153629491,-0.90661097,-22.928497314453125,0.2723347503658107,40.928497314453125
37,1.0,-0.7473927739711871,-0.98282826,-34.38299560546875,0.23543548549689153,35.38299560546875
38,18.0,-0.6342762153629491,-0.93632364,-27.393936157226562,0.3020474273677638,45.39393615722656
39,12.0,-0.6741997066364448,-0.94642794,-28.912490844726562,0.27222823468588186,40.91249084472656
40,17.0,-0.6409301305751983,-0.92511475,-25.709381103515625,0.28418462028692326,42.709381103515625
41,27.0,-0.5743909784527054,-0.8661232,-16.84368896484375,0.29173222101018526,43.84368896484375
42,7.0,-0.7074692826976913,-0.93944955,-27.863723754882812,0.2319802660236222,34.86372375488281
43,16.0,-0.6475840457874477,-0.9278556,-26.121307373046875,0.2802715650600255,42.121307373046875
44,15.0,-0.6542379609996969,-0.9277351,-26.103195190429688,0.2734971292560404,41.10319519042969
45,20.0,-0.6209683849384505,-0.90245724,-22.304244995117188,0.2814888523052018,42.30424499511719
46,11.0,-0.6808536218486941,-0.93678796,-27.463729858398438,0.25593434106481905,38.46372985839844
47,12.0,-0.6741997066364448,-0.94617,-28.87371826171875,0.271970265783294,40.87371826171875
48,16.0,-0.6475840457874477,-0.92993605,-26.4339599609375,0.2823520055812657,42.4339599609375
49,19.0,-0.6276223001506998,-0.9082897,-23.1807861328125,0.2806673707935141,42.1807861328125
50,19.0,-0.6276223001506998,-0.8994914,-21.8585205078125,0.2718691291782187,40.8585205078125
51,19.0,-0.6276223001506998,-0.8959278,-21.322952270507812,0.26830548667638765,40.32295227050781
52,27.0,-0.5743909784527054,-0.854326,-15.070724487304688,0.27993503129766084,42.07072448730469
53,10.0,-0.6875075370609434,-0.92143106,-25.155776977539062,0.23392352754476953,35.15577697753906
54,33.0,-0.5344674871792097,-0.8302387,-11.450706481933594,0.29577121273381524,44.450706481933594
55,19.0,-0.6276223001506998,-0.8672973,-17.0201416015625,0.23967499160497652,36.0201416015625
56,30.0,-0.5544292328159576,-0.8272608,-11.003166198730469,0.27283155943944404,41.00316619873047
57,23.0,-0.6010066393017026,-0.8464758,-13.890937805175781,0.24546914070852077,36.89093780517578
58,26.0,-0.5810448936649547,-0.8393034,-12.813011169433594,0.2582584806255116,38.813011169433594
59,16.0,-0.6475840457874477,-0.8866352,-19.9263916015625,0.23905113850057724,35.9263916015625
60,21.0,-0.6143144697262012,-0.88075924,-19.043304443359375,0.26644476947057616,40.043304443359375
61,42.0,-0.474582250268966,-0.7596238,-0.8381729125976562,0.28504157528111335,42.838172912597656
62,52.0,-0.40804309814647305,-0.65105057,15.479026794433594,0.24300746948048008,36.520973205566406
63,42.0,-0.474582250268966,-0.6714189,12.417915344238281,0.1968366549892127,29.58208465576172
64,59.0,-0.36146569166072795,-0.5747541,26.94542694091797,0.2132884272586446,32.05457305908203
65,63.0,-0.3348500308117308,-0.5122825,36.334129333496094,0.17743245991855483,26.665870666503906
66,23.0,-0.6010066393017026,-0.71399313,6.0195465087890625,0.11298649281270778,16.980453491210938
67,44.0,-0.4612744198444674,-0.6824075,10.766471862792969,0.2211330785152128,33.23352813720703
68,112.0,-0.008808185411515358,-0.24066879,77.15425872802734,0.2318606031407689,34.845741271972656
69,65.0,-0.3215422003872322,-0.36684138,58.192100524902344,0.045299175440557116,6.807899475097656
70,32.0,-0.5411214023914589,-0.6060498,22.242080688476562,0.06492837368581161,9.757919311523438
71,69.0,-0.29492653953823506,-0.48547405,40.36309814453125,0.19054751050677837,28.63690185546875
72,37.0,-0.5078518263302124,-0.6315981,18.402481079101562,0.12374628863713377,18.597518920898438
73,37.0,-0.5078518263302124,-0.6937721,9.058517456054688,0.18592025123021239,27.941482543945312
74,60.0,-0.35481177644847867,-0.57898104,26.31017303466797,0.2241692654597855,33.68982696533203
75,59.0,-0.36146569166072795,-0.5401335,32.148475646972656,0.17866778459659627,26.851524353027344
76,110.0,-0.02211601583601395,-0.20002662,83.26226806640625,0.1779106006181105,26.73773193359375
77,100.0,-0.08865516795850689,-0.13075541,93.67286682128906,0.04210024163984363,6.3271331787109375
78,105.0,-0.055385591897260424,-0.07323389,102.317626953125,0.017848295655954603,2.682373046875
79,98.0,-0.10196299838300549,-0.0979262,98.60668182373047,-0.004036798946817743,-0.6066818237304688
80,63.0,-0.3348500308117308,-0.33054996,63.64624786376953,-0.004300075443688822,-0.6462478637695312
81,95.0,-0.12192474401975337,-0.2202539,80.22236633300781,0.09832915567373571,14.777633666992188
82,51.0,-0.41469701335872233,-0.45163453,45.448753356933594,0.03693751289402425,5.551246643066406
83,41.0,-0.4812361654812153,-0.5999763,23.15484619140625,0.11874013571202202,17.84515380859375
84,95.0,-0.12192474401975337,-0.32376796,64.66549682617188,0.20184321605181035,30.334503173828125
85,95.0,-0.12192474401975337,-0.21398579,81.16438293457031,0.09206104182218847,13.835617065429688
86,75.0,-0.25500304826473924,-0.29882854,68.41357421875,0.04382549396777419,6.58642578125
87,61.0,-0.3481578612362294,-0.42038083,50.14579391479492,0.07222296952854113,10.854206085205078
88,44.0,-0.4612744198444674,-0.57121116,27.477890014648438,0.10993673938481119,16.522109985351562
89,69.0,-0.29492653953823506,-0.47743267,41.571617126464844,0.18250612867084087,27.428382873535156
90,37.0,-0.5078518263302124,-0.63042057,18.579452514648438,0.12256873927495116,18.420547485351562
91,45.0,-0.4546205046322181,-0.64794797,15.945304870605469,0.19332746242024162,29.05469512939453
92,58.0,-0.3681196068729773,-0.57458746,26.97046661376953,0.20646785745960328,31.02953338623047
93,55.0,-0.38808135250972514,-0.5641631,28.537124633789062,0.1760817362887978,26.462875366210938
94,35.0,-0.5211596567547111,-0.6764552,11.661026000976562,0.15529554296376424,23.338973999023438
