,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.70659316,7.1316680908203125,-0.007530042049039731,-1.1316680908203125
1,0.0,-0.7540466891834363,-1.2089895,-68.37220764160156,0.45494281181601437,68.37220764160156
2,3.0,-0.7340849435466885,-1.4287176,-101.39457702636719,0.6946326696735263,104.39457702636719
3,0.0,-0.7540466891834363,-1.5162661,-114.55201721191406,0.7622194183757678,114.55201721191406
4,0.0,-0.7540466891834363,-1.5421396,-118.44049072265625,0.788092960207738,118.44049072265625
5,0.0,-0.7540466891834363,-1.5451101,-118.88691711425781,0.7910634172847644,118.88691711425781
6,0.0,-0.7540466891834363,-1.5417464,-118.38139343261719,0.78769968876151,118.38139343261719
7,0.0,-0.7540466891834363,-1.5377904,-117.78684997558594,0.7837437284877673,117.78684997558594
8,0.0,-0.7540466891834363,-1.5348175,-117.34005737304688,0.7807707680156604,117.34005737304688
9,1.0,-0.7473927739711871,-1.5289212,-116.45393371582031,0.7815284725574384,117.45393371582031
10,4.0,-0.7274310283344392,-1.5128403,-114.03715515136719,0.7854092426616546,118.03715515136719
11,0.0,-0.7540466891834363,-1.5172268,-114.6964111328125,0.7631801260402575,114.6964111328125
12,2.0,-0.7407388587589377,-1.5149192,-114.34959411621094,0.7741803030376321,116.34959411621094
13,0.0,-0.7540466891834363,-1.5204701,-115.183837890625,0.7664234531810656,115.183837890625
14,0.0,-0.7540466891834363,-1.5250059,-115.86550903320312,0.7709592474391833,115.86550903320312
15,0.0,-0.7540466891834363,-1.5276401,-116.26138305664062,0.7735934151103869,116.26138305664062
16,5.0,-0.7207771131221898,-1.5091401,-113.4810791015625,0.7883630207355372,118.4810791015625
17,0.0,-0.7540466891834363,-1.5144775,-114.28321838378906,0.7604308021953479,114.28321838378906
18,6.0,-0.7141231979099406,-1.4974139,-111.71876525878906,0.7832906757625447,117.71876525878906
19,5.0,-0.7207771131221898,-1.4876007,-110.24397277832031,0.7668235710437648,115.24397277832031
20,5.0,-0.7207771131221898,-1.4825977,-109.49208068847656,0.7618205955798976,114.49208068847656
21,5.0,-0.7207771131221898,-1.4802134,-109.13375854492188,0.7594362905795924,114.13375854492188
22,2.0,-0.7407388587589377,-1.4910878,-110.76803588867188,0.7503489355449563,112.76803588867188
23,8.0,-0.700815367485442,-1.4758515,-108.47822570800781,0.7750361683116771,116.47822570800781
24,6.0,-0.7141231979099406,-1.4705822,-107.68630981445312,0.7564590488704549,113.68630981445312
25,4.0,-0.7274310283344392,-1.4767401,-108.61175537109375,0.7493090935069915,112.61175537109375
26,4.0,-0.7274310283344392,-1.4822078,-109.43348693847656,0.7547767467815276,113.43348693847656
27,15.0,-0.6542379609996969,-1.4407502,-103.20292663574219,0.7865122802799052,118.20292663574219
28,12.0,-0.6741997066364448,-1.4205111,-100.1612548828125,0.7463114198818047,112.1612548828125
29,17.0,-0.6409301305751983,-1.3881912,-95.30397033691406,0.7472610925693329,112.30397033691406
30,14.0,-0.6608918762119462,-1.380333,-94.12297058105469,0.7194410705653975,108.12297058105469
31,4.0,-0.7274310283344392,-1.420971,-100.23036193847656,0.6935400076228972,104.23036193847656
32,14.0,-0.6608918762119462,-1.4121941,-98.91131591796875,0.7513022565929244,112.91131591796875
33,7.0,-0.7074692826976913,-1.4282497,-101.32426452636719,0.7207804340610368,108.32426452636719
34,4.0,-0.7274310283344392,-1.4536939,-105.148193359375,0.7262628383952972,109.148193359375
35,24.0,-0.5943527240894533,-1.3814465,-94.29032897949219,0.7870937566615843,118.29032897949219
36,18.0,-0.6342762153629491,-1.3499681,-89.55950927734375,0.7156918603893092,107.55950927734375
37,1.0,-0.7473927739711871,-1.4113655,-98.78677368164062,0.663972735062016,99.78677368164062
38,18.0,-0.6342762153629491,-1.3907295,-95.68545532226562,0.7564533311839869,113.68545532226562
39,12.0,-0.6741997066364448,-1.3926684,-95.97683715820312,0.7184686597957451,107.97683715820312
40,17.0,-0.6409301305751983,-1.3739868,-93.16923522949219,0.7330567096729096,110.16923522949219
41,27.0,-0.5743909784527054,-1.3064008,-83.01188659667969,0.7320097974567185,110.01188659667969
42,7.0,-0.7074692826976913,-1.3552985,-90.36061096191406,0.6478292364368302,97.36061096191406
43,16.0,-0.6475840457874477,-1.3630521,-91.52587890625,0.7154680839580357,107.52587890625
44,15.0,-0.6542379609996969,-1.366301,-92.01414489746094,0.712062979513914,107.01414489746094
45,20.0,-0.6209683849384505,-1.341797,-88.33149719238281,0.720828609270839,108.33149719238281
46,11.0,-0.6808536218486941,-1.3661938,-91.99803161621094,0.6853401495136106,102.99803161621094
47,12.0,-0.6741997066364448,-1.3844409,-94.74034118652344,0.7102411922588189,106.74034118652344
48,16.0,-0.6475840457874477,-1.3764123,-93.53373718261719,0.7288282266658604,109.53373718261719
