,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.7103758,6.5631866455078125,-0.0037474120823038914,-0.5631866455078125
1,0.0,-0.7540466891834363,-1.3697642,-92.53462219238281,0.6157175196102038,92.53462219238281
2,3.0,-0.7340849435466885,-1.7448648,-148.90753173828125,1.0107798778873325,151.90753173828125
3,0.0,-0.7540466891834363,-1.9434651,-178.75466918945312,1.1894184244563952,178.75466918945312
4,0.0,-0.7540466891834363,-2.0401921,-193.29153442382812,1.286145438044347,193.29153442382812
5,0.0,-0.7540466891834363,-2.08505,-200.03311157226562,1.3310034168651477,200.03311157226562
6,0.0,-0.7540466891834363,-2.1052728,-203.07232666015625,1.3512260807445422,203.07232666015625
7,0.0,-0.7540466891834363,-2.1142387,-204.4197998046875,1.3601920498302356,204.4197998046875
8,0.0,-0.7540466891834363,-2.1181836,-205.01266479492188,1.36413692364005,205.01266479492188
9,1.0,-0.7473927739711871,-2.115932,-204.67428588867188,1.368539213791264,205.67428588867188
10,4.0,-0.7274310283344392,-2.1010394,-202.43612670898438,1.373608381303012,206.43612670898438
11,0.0,-0.7540466891834363,-2.1053953,-203.09075927734375,1.3513486278942004,203.09075927734375
12,2.0,-0.7407388587589377,-2.1036367,-202.82647705078125,1.362897882879246,204.82647705078125
13,0.0,-0.7540466891834363,-2.1094131,-203.694580078125,1.35536645778922,203.694580078125
14,0.0,-0.7540466891834363,-2.1144934,-204.45806884765625,1.360446680872716,204.45806884765625
15,0.0,-0.7540466891834363,-2.1176958,-204.93936157226562,1.3636491192272082,204.93936157226562
16,5.0,-0.7207771131221898,-2.0988588,-202.1083984375,1.3780817201907984,207.1083984375
17,0.0,-0.7540466891834363,-2.1032333,-202.76583862304688,1.3491866482189074,202.76583862304688
18,6.0,-0.7141231979099406,-2.0852652,-200.0654296875,1.3711419616969929,206.0654296875
19,5.0,-0.7207771131221898,-2.0737062,-198.32827758789062,1.3529290369327418,203.32827758789062
20,5.0,-0.7207771131221898,-2.067195,-197.3497314453125,1.3464178255374781,202.3497314453125
21,5.0,-0.7207771131221898,-2.0637636,-196.83404541015625,1.3429865053470484,201.83404541015625
22,2.0,-0.7407388587589377,-2.074689,-198.4759521484375,1.3339500526790506,200.4759521484375
23,8.0,-0.700815367485442,-2.058982,-196.11538696289062,1.3581665279613353,204.11538696289062
24,6.0,-0.7141231979099406,-2.0523715,-195.1219482421875,1.3382483040126667,201.1219482421875
25,4.0,-0.7274310283344392,-2.058148,-195.99005126953125,1.330716878922641,199.99005126953125
26,4.0,-0.7274310283344392,-2.0641594,-196.89352416992188,1.3367283649761077,200.89352416992188
27,15.0,-0.6542379609996969,-2.021222,-190.44058227539062,1.3669841535632914,205.44058227539062
28,12.0,-0.6741997066364448,-1.9968401,-186.77627563476562,1.3226404127254328,198.77627563476562
29,17.0,-0.6409301305751983,-1.9624466,-181.60736083984375,1.3215164398212251,198.60736083984375
30,14.0,-0.6608918762119462,-1.9505526,-179.81982421875,1.2896607065288375,193.81982421875
31,4.0,-0.7274310283344392,-1.9895202,-185.67617797851562,1.262089163811862,189.67617797851562
32,14.0,-0.6608918762119462,-1.981567,-184.48092651367188,1.3206751489726851,198.48092651367188
33,7.0,-0.7074692826976913,-1.9979082,-186.93679809570312,1.2904389518985613,193.93679809570312
34,4.0,-0.7274310283344392,-2.0259228,-191.14703369140625,1.2984917469341155,195.14703369140625
35,24.0,-0.5943527240894533,-1.9607044,-181.34552001953125,1.366351721749475,205.34552001953125
36,18.0,-0.6342762153629491,-1.9265462,-176.21197509765625,1.2922700006480983,194.21197509765625
37,1.0,-0.7473927739711871,-1.9820796,-184.55795288085938,1.2346868511585125,185.55795288085938
