,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.69316685,9.14947509765625,-0.020956345912565122,-3.14947509765625
1,0.0,-0.7540466891834363,-0.9717226,-32.713958740234375,0.21767591366080197,32.713958740234375
2,3.0,-0.7340849435466885,-1.1296589,-56.44981384277344,0.3955739939075351,59.44981384277344
3,0.0,-0.7540466891834363,-1.2197255,-69.98568725585938,0.46567880043295773,69.98568725585938
4,0.0,-0.7540466891834363,-1.2683985,-77.30062866210938,0.5143518341472522,77.30062866210938
5,0.0,-0.7540466891834363,-1.2936509,-81.09574890136719,0.5396041763713733,81.09574890136719
6,0.0,-0.7540466891834363,-1.3062009,-82.98184204101562,0.5521541727474109,82.98184204101562
7,0.0,-0.7540466891834363,-1.3121623,-83.87777709960938,0.5581155908992663,83.87777709960938
8,0.0,-0.7540466891834363,-1.3148329,-84.27914428710938,0.5607862366130725,84.27914428710938
9,1.0,-0.7473927739711871,-1.3142734,-84.19503784179688,0.5668805834201703,85.19503784179688
10,4.0,-0.7274310283344392,-1.3079505,-83.24479675292969,0.5805194683391448,87.24479675292969
11,0.0,-0.7540466891834363,-1.3088709,-83.38311767578125,0.5548242224147693,83.38311767578125
12,2.0,-0.7407388587589377,-1.3078128,-83.22410583496094,0.5670739511852151,85.22410583496094
13,0.0,-0.7540466891834363,-1.3099439,-83.54438781738281,0.5558972252300158,83.54438781738281
14,0.0,-0.7540466891834363,-1.3121983,-83.8831787109375,0.5581515921047107,83.8831787109375
15,0.0,-0.7540466891834363,-1.3138443,-84.13056945800781,0.5597976339748278,84.13056945800781
16,5.0,-0.7207771131221898,-1.3062973,-82.996337890625,0.5855201891239039,87.996337890625
17,0.0,-0.7540466891834363,-1.3073652,-83.15682983398438,0.5533184898784533,83.15682983398438
18,6.0,-0.7141231979099406,-1.2995067,-81.97579956054688,0.5853834663661824,87.97579956054688
19,5.0,-0.7207771131221898,-1.2936099,-81.08958435058594,0.5728327444370143,86.08958435058594
20,5.0,-0.7207771131221898,-1.2898285,-80.52130126953125,0.5690514257724635,85.52130126953125
21,5.0,-0.7207771131221898,-1.2876012,-80.18655395507812,0.5668241194064967,85.18655395507812
22,2.0,-0.7407388587589377,-1.2918653,-80.82740783691406,0.5511264900569802,82.82740783691406
23,8.0,-0.700815367485442,-1.2851326,-79.81556701660156,0.5843172790752269,87.81556701660156
24,6.0,-0.7141231979099406,-1.2815987,-79.28445434570312,0.5674754892619954,85.28445434570312
25,4.0,-0.7274310283344392,-1.2836702,-79.59576416015625,0.5562391586620208,83.59576416015625
26,4.0,-0.7274310283344392,-1.2864599,-80.01502990722656,0.5590288944560882,84.01502990722656
