,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.7113305,6.419708251953125,-0.00279272448693646,-0.419708251953125
1,0.0,-0.7540466891834363,-1.3102275,-83.58700561523438,0.5561808241298571,83.58700561523438
2,3.0,-0.7340849435466885,-1.6563395,-135.60330200195312,0.9222545826297641,138.60330200195312
3,0.0,-0.7540466891834363,-1.8386627,-163.00418090820312,1.084616054384984,163.00418090820312
4,0.0,-0.7540466891834363,-1.9229001,-175.66400146484375,1.1688533914974109,175.66400146484375
5,0.0,-0.7540466891834363,-1.9567275,-180.74783325195312,1.2026808155467883,180.74783325195312
6,0.0,-0.7540466891834363,-1.9682866,-182.48504638671875,1.2142399443080798,182.48504638671875
7,0.0,-0.7540466891834363,-1.9711671,-182.91793823242188,1.2171203983714953,182.91793823242188
8,0.0,-0.7540466891834363,-1.9710605,-182.90191650390625,1.217013825266637,182.90191650390625
9,1.0,-0.7473927739711871,-1.9664435,-182.20803833007812,1.2190507646945843,183.20803833007812
10,4.0,-0.7274310283344392,-1.9507407,-179.84811401367188,1.2233096666652556,183.84811401367188
11,0.0,-0.7540466891834363,-1.9549284,-180.47747802734375,1.200881708948888,180.47747802734375
12,2.0,-0.7407388587589377,-1.9530437,-180.1942138671875,1.2123048405055887,182.1942138671875
13,0.0,-0.7540466891834363,-1.9587479,-181.05148315429688,1.204701174586095,181.05148315429688
14,0.0,-0.7540466891834363,-1.9635377,-181.77133178710938,1.2094910038402453,181.77133178710938
15,0.0,-0.7540466891834363,-1.966291,-182.18511962890625,1.2122442615917102,182.18511962890625
16,5.0,-0.7207771131221898,-1.947901,-179.42132568359375,1.2271238973911158,184.42132568359375
17,0.0,-0.7540466891834363,-1.9526316,-180.13229370117188,1.198584903567113,180.13229370117188
18,6.0,-0.7141231979099406,-1.9358728,-177.6136474609375,1.2217495952876911,183.6136474609375
19,5.0,-0.7207771131221898,-1.9257519,-176.09259033203125,1.2049748113925807,181.09259033203125
20,5.0,-0.7207771131221898,-1.9207091,-175.33474731445312,1.1999320200260035,180.33474731445312
21,5.0,-0.7207771131221898,-1.9185317,-175.00747680664062,1.197754543143069,180.00747680664062
22,2.0,-0.7407388587589377,-1.929594,-176.67001342773438,1.1888551811580546,178.67001342773438
23,8.0,-0.700815367485442,-1.9150617,-174.48599243164062,1.2142463447795726,182.48599243164062
24,6.0,-0.7141231979099406,-1.9094875,-173.64825439453125,1.1953642879756794,179.64825439453125
25,4.0,-0.7274310283344392,-1.9155371,-174.55743408203125,1.188106090577304,178.55743408203125
