,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.6853663,10.321807861328125,-0.028756924983610044,-4.321807861328125
1,0.0,-0.7540466891834363,-0.73469746,2.9079437255859375,-0.01934922805520145,-2.9079437255859375
2,3.0,-0.7340849435466885,-0.7409022,1.9754562377929688,0.006817241893374959,1.0245437622070312
3,0.0,-0.7540466891834363,-0.7487515,0.7957992553710938,-0.005295168072901646,-0.7957992553710938
4,0.0,-0.7540466891834363,-0.74748814,0.9856643676757812,-0.006558548123560826,-0.9856643676757812
5,0.0,-0.7540466891834363,-0.74033535,2.060638427734375,-0.013711343915186802,-2.060638427734375
6,0.0,-0.7540466891834363,-0.7309991,3.4637603759765625,-0.023047577054224888,-3.4637603759765625
7,0.0,-0.7540466891834363,-0.72112125,4.948280334472656,-0.03292543760033695,-4.948280334472656
8,0.0,-0.7540466891834363,-0.71157336,6.383209228515625,-0.04247332683297245,-6.383209228515625
9,1.0,-0.7473927739711871,-0.699153,8.249832153320312,-0.04823976789437434,-7.2498321533203125
10,4.0,-0.7274310283344392,-0.6759174,11.741851806640625,-0.051513641325772186,-7.741851806640625
11,0.0,-0.7540466891834363,-0.6719774,12.333984375,-0.08206928840371219,-12.333984375
12,2.0,-0.7407388587589377,-0.66275066,13.720649719238281,-0.07798819738579932,-11.720649719238281
13,0.0,-0.7540466891834363,-0.66199034,13.834915161132812,-0.09205634465905277,-13.834915161132812
14,0.0,-0.7540466891834363,-0.66186,13.854507446289062,-0.09218670001717655,-13.854507446289062
15,0.0,-0.7540466891834363,-0.6614284,13.919364929199219,-0.09261829724999515,-13.919364929199219
16,5.0,-0.7207771131221898,-0.6403922,17.080848693847656,-0.08038492886468251,-12.080848693847656
17,0.0,-0.7540466891834363,-0.6422819,16.796844482421875,-0.11176479926797,-16.796844482421875
18,6.0,-0.7141231979099406,-0.6211339,19.975120544433594,-0.092989274379362,-13.975120544433594
19,5.0,-0.7207771131221898,-0.6061107,22.232925415039062,-0.11466642109795888,-17.232925415039062
20,5.0,-0.7207771131221898,-0.5950688,23.892379760742188,-0.12570830075188955,-18.892379760742188
21,5.0,-0.7207771131221898,-0.58680725,25.133987426757812,-0.13396986214562734,-20.133987426757812
22,2.0,-0.7407388587589377,-0.59321105,24.17157745361328,-0.14752780395699683,-22.17157745361328
23,8.0,-0.700815367485442,-0.57428455,27.0159912109375,-0.12653081395761,-19.0159912109375
24,6.0,-0.7141231979099406,-0.56503654,28.405853271484375,-0.1490866626468791,-22.405853271484375
25,4.0,-0.7274310283344392,-0.5673603,28.056625366210938,-0.16007074639016428,-24.056625366210938
26,4.0,-0.7274310283344392,-0.57032746,27.610694885253906,-0.15710356756860056,-23.610694885253906
27,15.0,-0.6542379609996969,-0.5166944,35.67106628417969,-0.13754353446313683,-20.671066284179688
28,12.0,-0.6741997066364448,-0.48512012,40.416290283203125,-0.18907958897210764,-28.416290283203125
29,17.0,-0.6409301305751983,-0.43216458,48.374847412109375,-0.20876555094530025,-31.374847412109375
30,14.0,-0.6608918762119462,-0.4072957,52.11232376098633,-0.2535961723240068,-38.11232376098633
31,4.0,-0.7274310283344392,-0.44331825,46.698585510253906,-0.2841127805393342,-42.698585510253906
32,14.0,-0.6608918762119462,-0.42817712,48.97410583496094,-0.23271475791055463,-34.97410583496094
33,7.0,-0.7074692826976913,-0.44696563,46.150428771972656,-0.2605036478748458,-39.150428771972656
34,4.0,-0.7274310283344392,-0.4772831,41.59410095214844,-0.2501479379814271,-37.59410095214844
35,24.0,-0.5943527240894533,-0.39120984,54.52982711791992,-0.20314288331491714,-30.529827117919922
36,18.0,-0.6342762153629491,-0.34583148,61.34962463378906,-0.2884447317604253,-43.34962463378906
37,1.0,-0.7473927739711871,-0.40596947,52.311641693115234,-0.34142330323182246,-51.311641693115234
38,18.0,-0.6342762153629491,-0.37753806,56.58452606201172,-0.2567381601814458,-38.58452606201172
39,12.0,-0.6741997066364448,-0.3797418,56.25333023071289,-0.29445791872598337,-44.25333023071289
40,17.0,-0.6409301305751983,-0.3540812,60.10979461669922,-0.28684891710092464,-43.10979461669922
41,27.0,-0.5743909784527054,-0.2680621,73.03738403320312,-0.3063288637371292,-46.037384033203125
42,7.0,-0.7074692826976913,-0.31702712,65.67855834960938,-0.3904421609153884,-58.678558349609375
43,16.0,-0.6475840457874477,-0.3178146,65.56021118164062,-0.32976945724069473,-49.560211181640625
44,15.0,-0.6542379609996969,-0.31835997,65.4782485961914,-0.33587798995324913,-50.478248596191406
45,20.0,-0.6209683849384505,-0.2874321,70.1263198852539,-0.33353628058931417,-50.126319885253906
46,11.0,-0.6808536218486941,-0.31601992,65.82992553710938,-0.36483369935380583,-54.829925537109375
47,12.0,-0.6741997066364448,-0.33930916,62.32984924316406,-0.3348905506954353,-50.32984924316406
48,16.0,-0.6475840457874477,-0.33169267,63.47451400756836,-0.31589137997209427,-47.47451400756836
49,19.0,-0.6276223001506998,-0.30320624,67.75566101074219,-0.3244160649803354,-48.75566101074219
50,19.0,-0.6276223001506998,-0.27856722,71.45860290527344,-0.3490550754097177,-52.45860290527344
