,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.7115539,6.386138916015625,-0.0025693262783182957,-0.386138916015625
1,0.0,-0.7540466891834363,-3.3103104,-384.17437744140625,2.556263674586095,384.17437744140625
2,3.0,-0.7340849435466885,-3.6655803,-437.5669860839844,2.931495329127872,440.5669860839844
3,0.0,-0.7540466891834363,-3.9126816,-474.7032165527344,3.1586348904064074,474.7032165527344
4,0.0,-0.7540466891834363,-4.0338917,-492.9195861816406,3.279844988673009,492.9195861816406
5,0.0,-0.7540466891834363,-4.092978,-501.7995300292969,3.338931311457433,501.7995300292969
6,0.0,-0.7540466891834363,-4.1190996,-505.7252502441406,3.365052927820958,505.7252502441406
7,0.0,-0.7540466891834363,-4.130369,-507.4189147949219,3.376322497217931,507.4189147949219
8,0.0,-0.7540466891834363,-4.1355042,-508.1906433105469,3.3814575565746203,508.1906433105469
9,1.0,-0.7473927739711871,-4.1338844,-507.9472351074219,3.3864916559604534,508.9472351074219
10,4.0,-0.7274310283344392,-4.1223783,-506.2179870605469,3.3949473209697603,510.2179870605469
11,0.0,-0.7540466891834363,-4.140053,-508.8742370605469,3.38600610622672,508.8742370605469
12,2.0,-0.7407388587589377,-4.1330595,-507.8232727050781,3.3923206428890116,509.8232727050781
13,0.0,-0.7540466891834363,-4.1421986,-509.1967468261719,3.388151873438634,509.1967468261719
14,0.0,-0.7540466891834363,-4.1430044,-509.3178405761719,3.3889577282359973,509.3178405761719
15,0.0,-0.7540466891834363,-4.143449,-509.3846130371094,3.3894021404674426,509.3846130371094
16,5.0,-0.7207771131221898,-4.122055,-506.1694030761719,3.4012779405887477,511.1694030761719
17,0.0,-0.7540466891834363,-4.142571,-509.2527160644531,3.3885242832591906,509.2527160644531
18,6.0,-0.7141231979099406,-4.1176176,-505.5025329589844,3.4034944092067585,511.5025329589844
19,5.0,-0.7207771131221898,-4.121016,-506.0132751464844,3.400238912421023,511.0132751464844
20,5.0,-0.7207771131221898,-4.1209517,-506.0035705566406,3.4001745394046656,511.0035705566406
21,5.0,-0.7207771131221898,-4.121156,-506.0343322753906,3.4003791025455348,511.0343322753906
