,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.6902561,9.586921691894531,-0.023867079135526548,-3.5869216918945312
1,0.0,-0.7540466891834363,-0.8110278,-8.563552856445312,0.05698113569525631,8.563552856445312
2,3.0,-0.7340849435466885,-0.83511287,-12.1832275390625,0.10102792619284395,15.1832275390625
3,0.0,-0.7540466891834363,-0.8377905,-12.585647583007812,0.08374380001334103,12.585647583007812
4,0.0,-0.7540466891834363,-0.81892776,-9.750816345214844,0.06488107570914181,9.750816345214844
5,0.0,-0.7540466891834363,-0.79100156,-5.553855895996094,0.036954869120396694,5.553855895996094
6,0.0,-0.7540466891834363,-0.7605717,-0.9806289672851562,0.006525029032506069,0.9806289672851562
7,0.0,-0.7540466891834363,-0.730952,3.4708404541015625,-0.023094664723597447,-3.4708404541015625
8,0.0,-0.7540466891834363,-0.70366645,7.5715179443359375,-0.050380240590296665,-7.5715179443359375
9,1.0,-0.7473927739711871,-0.6734102,12.11865234375,-0.07398259674035212,-11.11865234375
10,4.0,-0.7274310283344392,-0.6295428,18.71136474609375,-0.097888200728238,-14.71136474609375
11,0.0,-0.7540466891834363,-0.61587656,20.765235900878906,-0.13817013374062626,-20.765235900878906
12,2.0,-0.7407388587589377,-0.59168684,24.400650024414062,-0.14905201393319312,-22.400650024414062
13,0.0,-0.7540466891834363,-0.5830419,25.699874877929688,-0.1710047828266248,-25.699874877929688
14,0.0,-0.7540466891834363,-0.5752717,26.867637634277344,-0.17877496352883426,-26.867637634277344
15,0.0,-0.7540466891834363,-0.56858504,27.87255859375,-0.18546165099831668,-27.87255859375
16,5.0,-0.7207771131221898,-0.53348637,33.14745330810547,-0.18729074685021718,-28.14745330810547
17,0.0,-0.7540466891834363,-0.5339304,33.080711364746094,-0.220116268307887,-33.080711364746094
18,6.0,-0.7141231979099406,-0.49820408,38.44993591308594,-0.21591911565934552,-32.44993591308594
19,5.0,-0.7207771131221898,-0.47484747,41.96014404296875,-0.24592964736863454,-36.96014404296875
20,5.0,-0.7207771131221898,-0.45491752,44.955360412597656,-0.26585959283753713,-39.955360412597656
21,5.0,-0.7207771131221898,-0.43804124,47.49165344238281,-0.2827358731453069,-42.49165344238281
22,2.0,-0.7407388587589377,-0.44135728,46.99329376220703,-0.29938157397462073,-44.99329376220703
23,8.0,-0.700815367485442,-0.40829334,51.9623908996582,-0.2925220308555745,-43.9623908996582
24,6.0,-0.7141231979099406,-0.39322594,54.22683334350586,-0.3208972598281993,-48.22683334350586
25,4.0,-0.7274310283344392,-0.39186308,54.43165588378906,-0.33556795045548715,-50.43165588378906
26,4.0,-0.7274310283344392,-0.39028248,54.66919708251953,-0.33714854642564096,-50.66919708251953
27,15.0,-0.6542379609996969,-0.32421294,64.59861755371094,-0.3300250224525625,-49.59861755371094
28,12.0,-0.6741997066364448,-0.28842714,69.97677612304688,-0.38577256234742807,-57.976776123046875
29,17.0,-0.6409301305751983,-0.22828004,79.01612854003906,-0.41265009293367305,-62.01612854003906
30,14.0,-0.6608918762119462,-0.19649139,83.79357147216797,-0.46440048574525616,-69.79357147216797
