,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.0027860128,112.90505981445312,-0.7113371850778653,-106.90505981445312
1,0.0,-0.7540466891834363,-0.0058866497,112.43907165527344,-0.7481600394705161,-112.43907165527344
2,3.0,-0.7340849435466885,-0.008241134,112.08522033691406,-0.7258438097823023,-109.08522033691406
3,0.0,-0.7540466891834363,-0.009978702,111.82408905029297,-0.74406798689159,-111.82408905029297
4,0.0,-0.7540466891834363,-0.01127152,111.62979125976562,-0.7427751695969924,-111.62979125976562
5,0.0,-0.7540466891834363,-0.012227781,111.48607635498047,-0.7418189080664739,-111.48607635498047
6,0.0,-0.7540466891834363,-0.012933393,111.38003540039062,-0.7411132961744293,-111.38003540039062
7,0.0,-0.7540466891834363,-0.013454091,111.3017807006836,-0.7405925983795747,-111.3017807006836
8,0.0,-0.7540466891834363,-0.013838669,111.24398040771484,-0.7402080198982581,-111.24398040771484
9,1.0,-0.7473927739711871,-0.014122514,111.20132446289062,-0.7332702599170079,-110.20132446289062
10,4.0,-0.7274310283344392,-0.014331793,111.16986846923828,-0.713099234921873,-107.16986846923828
11,0.0,-0.7540466891834363,-0.014485363,111.14678955078125,-0.7395613262662515,-111.14678955078125
12,2.0,-0.7407388587589377,-0.014595594,111.1302261352539,-0.7261432645018214,-109.1302261352539
13,0.0,-0.7540466891834363,-0.014674755,111.11833190917969,-0.7393719343701228,-111.11833190917969
14,0.0,-0.7540466891834363,-0.01473107,111.10986328125,-0.739315619156681,-111.10986328125
15,0.0,-0.7540466891834363,-0.014770798,111.10389709472656,-0.739275890798293,-111.10389709472656
16,5.0,-0.7207771131221898,-0.014798893,111.09967041015625,-0.7059782204602607,-106.09967041015625
17,0.0,-0.7540466891834363,-0.014818819,111.0966796875,-0.7392278699437007,-111.0966796875
18,6.0,-0.7141231979099406,-0.014832992,111.09455108642578,-0.6992902058032645,-105.09455108642578
19,5.0,-0.7207771131221898,-0.01484311,111.09302520751953,-0.7059340031270631,-106.09302520751953
20,5.0,-0.7207771131221898,-0.01485035,111.0919418334961,-0.705926763025368,-106.0919418334961
21,5.0,-0.7207771131221898,-0.014855549,111.09115600585938,-0.7059215643827566,-106.09115600585938
22,2.0,-0.7407388587589377,-0.014859291,111.0905990600586,-0.7258795679653997,-109.0905990600586
23,8.0,-0.700815367485442,-0.014861984,111.09019470214844,-0.6859533833070182,-103.09019470214844
24,6.0,-0.7141231979099406,-0.014863927,111.08989715576172,-0.6992592709926261,-105.08989715576172
25,4.0,-0.7274310283344392,-0.014865326,111.08969116210938,-0.7125657025706176,-107.08969116210938
26,4.0,-0.7274310283344392,-0.014866337,111.08953857421875,-0.7125646911543015,-107.08953857421875
27,15.0,-0.6542379609996969,-0.014867058,111.08943176269531,-0.6393709029758865,-96.08943176269531
28,12.0,-0.6741997066364448,-0.014867572,111.08934783935547,-0.6593321345225732,-99.08934783935547
29,17.0,-0.6409301305751983,-0.0148679335,111.08929443359375,-0.6260621971081678,-94.08929443359375
30,14.0,-0.6608918762119462,-0.0148681905,111.0892562866211,-0.6460236856998851,-97.0892562866211
31,4.0,-0.7274310283344392,-0.014868367,111.0892333984375,-0.7125626608710889,-107.0892333984375
32,14.0,-0.6608918762119462,-0.014868485,111.0892105102539,-0.6460233914019515,-97.0892105102539
33,7.0,-0.7074692826976913,-0.014868561,111.08920288085938,-0.6926007215192455,-104.08920288085938
34,4.0,-0.7274310283344392,-0.01486861,111.08919525146484,-0.7125624187272195,-107.08919525146484
35,24.0,-0.5943527240894533,-0.014868636,111.08918762207031,-0.5794840884052015,-87.08918762207031
36,18.0,-0.6342762153629491,-0.014868649,111.08918762207031,-0.6194075666401813,-93.08918762207031
37,1.0,-0.7473927739711871,-0.014868652,111.08918762207031,-0.732524121523129,-110.08918762207031
38,18.0,-0.6342762153629491,-0.014868652,111.08918762207031,-0.619407562914891,-93.08918762207031
39,12.0,-0.6741997066364448,-0.014868645,111.08918762207031,-0.6593310616389673,-99.08918762207031
40,17.0,-0.6409301305751983,-0.014868636,111.08918762207031,-0.6260614948909465,-94.08918762207031
41,27.0,-0.5743909784527054,-0.0148686245,111.08919525146484,-0.5595223539443245,-84.08919525146484
42,7.0,-0.7074692826976913,-0.0148686115,111.08919525146484,-0.6926006712278264,-104.08919525146484
43,16.0,-0.6475840457874477,-0.014868602,111.08919525146484,-0.6327154436308086,-95.08919525146484
44,15.0,-0.6542379609996969,-0.014868595,111.08919525146484,-0.6393693662936384,-96.08919525146484
45,20.0,-0.6209683849384505,-0.014868585,111.08920288085938,-0.6060997995456178,-91.08920288085938
46,11.0,-0.6808536218486941,-0.014868578,111.08920288085938,-0.665985043906442,-100.08920288085938
47,12.0,-0.6741997066364448,-0.0148685705,111.08920288085938,-0.6593311361447732,-99.08920288085938
48,16.0,-0.6475840457874477,-0.014868563,111.08920288085938,-0.6327154827463567,-95.08920288085938
49,19.0,-0.6276223001506998,-0.014868559,111.08920288085938,-0.6127537408348991,-92.08920288085938
50,19.0,-0.6276223001506998,-0.014868554,111.08920288085938,-0.6127537464228345,-92.08920288085938
