Date,Infections,Dead,Recover,Infect_by_date,inf_day,Date
28.03.2020,6,0,0,6,,0.0
29.03.2020,6,0,0,6,0.0,1.0
30.03.2020,9,1,0,8,3.0,2.0
31.03.2020,9,1,0,8,0.0,3.0
01.04.2020,9,2,0,7,0.0,4.0
02.04.2020,9,2,0,7,0.0,5.0
03.04.2020,9,2,0,7,0.0,6.0
04.04.2020,9,2,2,5,0.0,7.0
05.04.2020,9,2,3,4,0.0,8.0
06.04.2020,10,2,3,5,1.0,9.0
07.04.2020,14,2,3,9,4.0,10.0
08.04.2020,14,2,3,9,0.0,11.0
09.04.2020,16,2,5,9,2.0,12.0
10.04.2020,16,2,5,9,0.0,13.0
11.04.2020,16,2,6,8,0.0,14.0
12.04.2020,16,2,6,8,0.0,15.0
13.04.2020,21,2,6,13,5.0,16.0
14.04.2020,21,2,6,13,0.0,17.0
15.04.2020,27,4,8,15,6.0,18.0
16.04.2020,32,4,8,20,5.0,19.0
17.04.2020,37,4,8,25,5.0,20.0
18.04.2020,42,6,8,28,5.0,21.0
19.04.2020,44,6,8,30,2.0,22.0
20.04.2020,52,6,9,37,8.0,23.0
21.04.2020,58,6,9,43,6.0,24.0
22.04.2020,62,6,9,47,4.0,25.0
23.04.2020,66,6,9,51,4.0,26.0
24.04.2020,81,6,9,66,15.0,27.0
25.04.2020,93,6,9,78,12.0,28.0
26.04.2020,110,7,9,94,17.0,29.0
27.04.2020,124,8,13,103,14.0,30.0
28.04.2020,128,8,14,106,4.0,31.0
29.04.2020,142,8,14,120,14.0,32.0
30.04.2020,149,8,17,124,7.0,33.0
01.05.2020,153,8,17,128,4.0,34.0
02.05.2020,177,8,19,150,24.0,35.0
03.05.2020,195,8,19,168,18.0,36.0
04.05.2020,196,8,19,169,1.0,37.0
05.05.2020,214,8,24,182,18.0,38.0
06.05.2020,226,8,35,183,12.0,39.0
07.05.2020,243,8,41,194,17.0,40.0
08.05.2020,270,8,51,211,27.0,41.0
09.05.2020,277,8,59,210,7.0,42.0
10.05.2020,293,8,66,219,16.0,43.0
11.05.2020,308,8,67,233,15.0,44.0
12.05.2020,328,8,67,253,20.0,45.0
13.05.2020,339,8,96,235,11.0,46.0
14.05.2020,351,8,102,241,12.0,47.0
15.05.2020,367,8,112,247,16.0,48.0
16.05.2020,386,8,132,246,19.0,49.0
17.05.2020,405,9,132,264,19.0,50.0
18.05.2020,424,9,132,283,19.0,51.0
19.05.2020,451,9,142,300,27.0,52.0
20.05.2020,461,9,161,291,10.0,53.0
21.05.2020,494,9,172,313,33.0,54.0
22.05.2020,513,9,183,321,19.0,55.0
23.05.2020,543,9,201,333,30.0,56.0
24.05.2020,566,9,201,356,23.0,57.0
25.05.2020,592,10,208,374,26.0,58.0
26.05.2020,608,10,238,360,16.0,59.0
27.05.2020,629,10,268,351,21.0,60.0
28.05.2020,671,10,293,368,42.0,61.0
29.05.2020,723,10,306,407,52.0,62.0
30.05.2020,765,10,332,423,42.0,63.0
31.05.2020,824,10,340,474,59.0,64.0
01.06.2020,887,10,340,537,63.0,65.0
02.06.2020,910,10,359,541,23.0,66.0
03.06.2020,954,10,368,576,44.0,67.0
04.06.2020,1066,10,403,653,112.0,68.0
05.06.2020,1131,11,420,700,65.0,69.0
06.06.2020,1163,12,437,714,32.0,70.0
07.06.2020,1232,12,437,783,69.0,71.0
08.06.2020,1269,12,440,817,37.0,72.0
