Даты (дни);Столбец1;Столбец2;Дата;Дата (день);Зараженныъ, чел/сутки;Расчетное значение, чел/сутки;Остаток
0.0;;;28.03.2020;28.03.2020;6;100.88;-94.88
1.0;;;28.03.2020;29.03.2020;0;101.04;-101.04
2.0;;;28.03.2020;30.03.2020;3;101.04;-98.04
3.0;;;28.03.2020;31.03.2020;0;101.04;-101.04
4.0;;;28.03.2020;01.04.2020;0;101.04;-101.04
5.0;;;28.03.2020;02.04.2020;0;101.04;-101.04
6.0;;;28.03.2020;03.04.2020;0;101.04;-101.04
7.0;;;28.03.2020;04.04.2020;0;101.04;-101.04
8.0;;;28.03.2020;05.04.2020;0;101.04;-101.04
9.0;;;28.03.2020;06.04.2020;1;101.04;-100.04
10.0;;;28.03.2020;07.04.2020;4;101.04;-97.04
11.0;;;28.03.2020;08.04.2020;0;101.04;-101.04
12.0;;;28.03.2020;09.04.2020;2;101.04;-99.04
13.0;;;28.03.2020;10.04.2020;0;101.04;-101.04
14.0;;;28.03.2020;11.04.2020;0;101.04;-101.04
15.0;;;28.03.2020;12.04.2020;0;101.04;-101.04
16.0;;;28.03.2020;13.04.2020;5;101.04;-96.04
17.0;;;28.03.2020;14.04.2020;0;101.04;-101.04
18.0;;;28.03.2020;15.04.2020;6;101.04;-95.04
19.0;;;28.03.2020;16.04.2020;5;101.04;-96.04
20.0;;;28.03.2020;17.04.2020;5;101.04;-96.04
21.0;;;28.03.2020;18.04.2020;5;101.04;-96.04
22.0;;;28.03.2020;19.04.2020;2;101.04;-99.04
23.0;;;28.03.2020;20.04.2020;8;101.04;-93.04
24.0;;;28.03.2020;21.04.2020;6;101.04;-95.04
25.0;;;28.03.2020;22.04.2020;4;101.04;-97.04
26.0;;;28.03.2020;23.04.2020;4;101.04;-97.04
27.0;;;28.03.2020;24.04.2020;15;101.04;-86.04
28.0;;;28.03.2020;25.04.2020;12;101.04;-89.04
29.0;;;28.03.2020;26.04.2020;17;101.04;-84.04
30.0;;;28.03.2020;27.04.2020;14;101.04;-87.04
31.0;;;28.03.2020;28.04.2020;4;101.04;-97.04
32.0;;;28.03.2020;29.04.2020;14;101.04;-87.04
33.0;;;28.03.2020;30.04.2020;7;101.04;-94.04
34.0;;;28.03.2020;01.05.2020;4;101.04;-97.04
35.0;;;28.03.2020;02.05.2020;24;101.04;-77.04
36.0;;;28.03.2020;03.05.2020;18;101.04;-83.04
37.0;;;28.03.2020;04.05.2020;1;101.04;-100.04
38.0;;;28.03.2020;05.05.2020;18;101.04;-83.04
39.0;;;28.03.2020;06.05.2020;12;101.04;-89.04
40.0;;;28.03.2020;07.05.2020;17;101.04;-84.04
41.0;;;28.03.2020;08.05.2020;27;101.04;-74.04
42.0;;;28.03.2020;09.05.2020;7;101.04;-94.04
43.0;;;28.03.2020;10.05.2020;16;101.04;-85.04
44.0;;;28.03.2020;11.05.2020;15;101.04;-86.04
45.0;;;28.03.2020;12.05.2020;20;101.04;-81.04
46.0;;;28.03.2020;13.05.2020;11;101.04;-90.04
47.0;;;28.03.2020;14.05.2020;12;101.04;-89.04
48.0;;;28.03.2020;15.05.2020;16;101.04;-85.04
49.0;;;28.03.2020;16.05.2020;19;101.04;-82.04
50.0;;;28.03.2020;17.05.2020;19;101.04;-82.04
51.0;;;28.03.2020;18.05.2020;19;101.04;-82.04
52.0;;;28.03.2020;19.05.2020;27;101.04;-74.04
53.0;;;28.03.2020;20.05.2020;10;101.04;-91.04
54.0;;;28.03.2020;21.05.2020;33;101.04;-68.04
55.0;;;28.03.2020;22.05.2020;19;101.04;-82.04
56.0;;;28.03.2020;23.05.2020;30;101.04;-71.04
57.0;;;28.03.2020;24.05.2020;23;101.04;-78.04
58.0;;;28.03.2020;25.05.2020;26;101.04;-75.04
59.0;;;28.03.2020;26.05.2020;16;101.04;-85.04
60.0;;;28.03.2020;27.05.2020;21;101.04;-80.04
61.0;;;28.03.2020;28.05.2020;42;101.04;-59.04
62.0;;;28.03.2020;29.05.2020;52;101.04;-49.04
63.0;;;28.03.2020;30.05.2020;42;101.04;-59.04
64.0;;;28.03.2020;31.05.2020;59;101.04;-42.04
65.0;;;28.03.2020;01.06.2020;63;101.04;-38.04
66.0;;;28.03.2020;02.06.2020;23;101.04;-78.04
67.0;;;28.03.2020;03.06.2020;44;101.04;-57.04
68.0;;;28.03.2020;04.06.2020;112;101.04;10.96
69.0;;;28.03.2020;05.06.2020;65;101.04;-36.04
70.0;;;28.03.2020;06.06.2020;32;101.04;-69.04
71.0;;;28.03.2020;07.06.2020;69;101.04;-32.04
