,0
0,-31.27932439169411
1,-68.41089602728964
2,-102.39441215897014
3,-139.22971490810505
4,-175.91687029490154
5,-212.4562419363957
6,-248.8485633969326
7,-285.0950074591064
8,-321.1972510646617
9,-356.15753449865576
10,-387.97870114312866
11,-423.66420284699035
12,-457.218220875628
13,-492.64560787316066
14,-527.9519616307042
15,-563.1435883170303
16,-593.2274785250264
17,-628.2111197082029
18,-657.1027095415812
19,-686.9107563467087
20,-716.6441942717927
21,-746.3122584275405
22,-778.9243793399268
23,-805.490195059911
24,-834.0190606964768
25,-864.5202521678359
26,-895.002858514831
27,-914.4755827778596
28,-936.9461378922535
29,-954.4217894031833
30,-974.9089300552471
31,-1005.4133890248711
32,-1025.940684328262
33,-1053.4951255806084
34,-1084.080530240308
35,-1094.700034316439
36,-1111.3552580290561
37,-1145.047379812474
38,-1161.7774945326294
39,-1184.5455091161891
40,-1202.3509894854155
41,-1210.1928949622486
42,-1238.069571200601
43,-1256.9795547673716
44,-1276.9209071335167
45,-1291.891531892773
46,-1315.8891309327212
47,-1338.911501185319
48,-1357.9563957198238
49,-1374.021540788943
50,-1390.104706170002
51,-1406.2037774441933
52,-1414.3167770324617
53,-1439.4418150438935
54,-1441.5773029128188
55,-1457.721645775286
56,-1462.8735215144748
57,-1475.0317040352093
58,-1484.195167772673
59,-1503.3630172926887
60,-1517.534540990026
61,-1510.7091266564862
62,-1493.8861895663986
63,-1487.0652173512362
64,-1463.245838432415
65,-1435.4276960717957
66,-1447.610488386354
67,-1438.7941288049865
68,-1361.9785007453343
69,-1332.1632671976258
70,-1335.3483040348387
71,-1301.5336365395674
72,-1299.7191612985057
73,-1297.9049189076322
74,-1273.0909717725376
75,-1249.2773176130818
76,-1174.463991434659
77,-1109.6508461610024
78,-1039.8377929784215
79,-977.0247254933302
80,-949.2115600740149
81,-889.3983584589955
82,-873.5850264817982
83,-867.7716592045886
84,-807.9583985306995
85,-748.1451375363813
86,-708.3317630520032
87,-682.5182414635601
88,-673.7045869664289
89,-639.8908810374805
90,-638.0770652293195
91,-628.2632292467974
92,-605.4494152693519
93,-585.6355962397606
94,-585.8217560534176
95,-548.0079800027042
96,-538.1941531836201
97,-516.3803001343213
98,-516.5663690232323
99,-500.7524097170831
100,-509.93837059559155
101,-507.1243164538805
102,-515.310233006267
103,-522.4961521877153
104,-522.6820908301484
105,-531.8680202313003
106,-551.0539488871873
107,-555.2399293536678
108,-578.4259308934015
109,-579.6120236016573
110,-578.7981682869536
111,-586.9843193173433
112,-604.1704724711672
113,-609.3566629196639
114,-625.5428585760151
115,-644.7290786125322
116,-662.9153550053861
